x0, Result
-95, 369.83624540572987
-90, 539.6265271880268
-85, 688.6290747052988
-80, 817.1356404655995
-75, 925.4250134610529
-70, 1013.7602169506241
-65, 1082.386066250518
-60, 1131.5271402772187
-55, 1161.3862101377654
-50, 1172.143156557911
-45, 1163.954395686948
-40, 1136.9528201425514
-35, 1091.248249393937
-30, 1026.9283710615841
-25, 944.060142762841
-20, 842.691613063759
-15, 722.854110192005
-10, 584.5647386741462
-5, 326.81982700868286
0, 265.5519839441567
5, 326.81982700868286
10, 584.5647386741462
15, 722.854110192005
20, 842.691613063759
25, 944.060142762841
30, 1026.9283710615841
35, 1091.248249393937
40, 1136.9528201425514
45, 1163.954395686948
50, 1172.143156557911
55, 1161.3862101377654
60, 1131.5271402772185
65, 1082.386066250518
70, 1013.7602169506241
75, 925.4250134610529
80, 817.1356404655994
85, 688.6290747052988
90, 539.6265271880268
95, 369.83624540572987
