cref, sref, Result
0, 0, Error: Invalid range (0-0) for variable "r" ("r : [0..0] init 0", line 51, column 9).
0, 2, 1350.1627501240607
0, 4, 1150.923997010401
0, 6, 1072.7273539774617
0, 8, 1028.8346335551012
0, 10, 999.6014125956178
0, 12, 978.2457008380479
0, 14, 961.5133939086511
0, 16, 947.6537863484004
0, 18, 935.4993318383563
0, 20, 924.7397284257861
2, 0, Error: Iterative method did not converge within 10000 iterations.
Consider using a different numerical method or increasing the maximum number of iterations.
2, 2, 3087.2393799695014
2, 4, 1664.0635537012831
2, 6, 1155.230138292378
2, 8, 942.7159382981733
2, 10, 844.9062807933046
2, 12, 794.8682075569093
2, 14, 766.0022312237866
2, 16, 747.2049802366869
2, 18, 733.5840471497146
2, 20, 722.86309612386
