action step s r x y
- 0 0 0 95 95
[ini] 1 2 0 95 95
[step] 2 2 0 95 94
[step] 3 2 0 96 94
[step] 4 2 0 96 93
[step] 5 2 0 97 93
[step] 6 2 0 97 94
[step] 7 2 0 97 95
[step] 8 2 0 98 95
[step] 9 2 0 98 94
[step] 10 1 0 99 94
[step] 11 1 0 98 94
[step] 12 1 0 98 95
[step] 13 1 0 98 94
[step] 14 1 0 98 93
[step] 15 1 0 97 93
[step] 16 1 0 96 93
[step] 17 1 0 96 94
[step] 18 1 0 96 93
[step] 19 1 0 95 93
[step] 20 1 0 94 93
[step] 21 1 0 93 93
[step] 22 1 0 93 92
[step] 23 1 0 93 91
[step] 24 1 0 92 91
[step] 25 1 0 91 91
[step] 26 1 0 90 91
[step] 27 2 0 89 91
[step] 28 1 0 89 92
[step] 29 1 0 88 92
[step] 30 1 0 87 92
[step] 31 1 0 86 92
[step] 32 1 0 85 92
[step] 33 1 0 84 92
[step] 34 1 0 84 91
[step] 35 1 0 83 91
[step] 36 1 0 82 91
[step] 37 1 0 81 91
[step] 38 1 0 80 91
[step] 39 2 0 79 91
[step] 40 2 0 80 91
[step] 41 2 0 80 92
[step] 42 2 0 81 92
[step] 43 2 0 81 93
[step] 44 2 0 81 92
[step] 45 2 0 82 92
[step] 46 2 0 83 92
[step] 47 2 0 83 93
[step] 48 2 0 84 93
[step] 49 2 0 85 93
[step] 50 2 0 86 93
[step] 51 2 0 87 93
[step] 52 2 0 87 94
[step] 53 2 0 88 94
[step] 54 2 0 88 95
[step] 55 2 0 89 95
[step] 56 2 0 90 95
[step] 57 2 0 91 95
[step] 58 2 0 92 95
[step] 59 2 0 93 95
[step] 60 2 0 94 95
[step] 61 2 0 95 95
[step] 62 1 0 96 95
[step] 63 1 0 96 96
[step] 64 1 0 95 96
[step] 65 1 0 94 96
[step] 66 2 0 94 95
[step] 67 2 0 95 95
[step] 68 2 0 95 94
[step] 69 2 0 95 93
[step] 70 2 0 96 93
[step] 71 2 0 97 93
[step] 72 2 0 97 92
[step] 73 2 0 98 92
[step] 74 2 0 99 92
[step] 75 2 0 100 92
[return] 76 3 0 100 92
[return] 77 3 0 100 92
[return] 78 3 0 99 92
[return] 79 1 0 98 92
[step] 80 1 0 98 93
[step] 81 1 0 97 93
[step] 82 1 0 97 92
[step] 83 1 0 96 92
[step] 84 1 0 95 92
[step] 85 1 0 94 92
[step] 86 2 0 94 91
[step] 87 1 0 95 91
[step] 88 1 0 95 92
[step] 89 1 0 94 92
[step] 90 1 0 93 92
[step] 91 1 0 92 92
[step] 92 1 0 91 92
[step] 93 1 0 90 92
[step] 94 1 0 89 92
[step] 95 1 0 88 92
[step] 96 1 0 87 92
[step] 97 1 0 87 93
[step] 98 1 0 86 93
[step] 99 1 0 85 93
[step] 100 1 0 84 93
[step] 101 1 0 83 93
[step] 102 1 0 83 92
[step] 103 1 0 82 92
[step] 104 2 0 81 92
[step] 105 2 0 82 92
[step] 106 2 0 83 92
[step] 107 2 0 84 92
[step] 108 2 0 84 91
[step] 109 2 0 84 90
[step] 110 2 0 84 91
[step] 111 2 0 84 90
[step] 112 1 0 85 90
